,Budget Per Query,Base_1000Q,Base_5000Q
548,0.0001,0.001,0.0002
549,0.0001,0.001,0.0002
550,0.0001,0.001,0.0002
551,0.0001,0.001,0.0002
552,0.0001,0.001,0.0002
553,0.0001,0.001,0.0002
554,0.0001,0.001,0.0002
555,0.0001,0.001,0.0002
556,0.0001,0.001,0.0002
557,0.0001,0.001,0.0002
558,0.0001,0.001,0.0002
559,0.0001,0.001,0.0002
560,0.0001,0.001,0.0002
561,0.0001,0.001,0.0002
562,0.0001,0.001,0.0002
563,0.0001,0.001,0.0002
564,0.0001,0.001,0.0002
565,0.0001,0.001,0.0002
566,0.0001,0.001,0.0002
567,0.0001,0.001,0.0002
568,0.0001,0.001,0.0002
569,0.0001,0.001,0.0002
570,0.0001,0.001,0.0002
571,0.0001,0.001,0.0002
572,0.0001,0.001,0.0002
573,0.0001,0.001,0.0002
574,0.0001,0.001,0.0002
575,0.0001,0.001,0.0002
576,0.0001,0.001,0.0002
577,0.0001,0.001,0.0002
578,0.0001,0.001,0.0002
579,0.0001,0.001,0.0002
580,0.0001,0.001,0.0002
581,0.0001,0.001,0.0002
582,0.0001,0.001,0.0002
583,0.0001,0.001,0.0002
584,0.0001,0.001,0.0002
585,0.0001,0.001,0.0002
586,0.0001,0.001,0.0002
587,0.00001,0.001,0.0002
588,0.0001,0.001,0.0002
589,0.0001,0.001,0.0002
590,0.0001,0.001,0.0002
591,0.0001,0.001,0.0002
592,0.001,0.001,0.0002
593,0.0001,0.001,0.0002
594,0.0001,0.001,0.0002
595,0.0001,0.001,0.0002
596,0.0001,0.001,0.0002
597,0.0001,0.001,0.0002
598,0.0001,0.001,0.0002
599,0.0001,0.001,0.0002
600,0.0001,0.001,0.0002
601,0.0001,0.001,0.0002
602,0.0001,0.001,0.0002
603,0.0001,0.001,0.0002
604,0.0001,0.001,0.0002
605,0.0001,0.001,0.0002
606,0.0001,0.001,0.0002
607,0.0001,0.001,0.0002
608,0.0001,0.001,0.0002
609,0.0001,0.001,0.0002
610,0.0001,0.001,0.0002
611,0.0001,0.001,0.0002
612,0.0001,0.001,0.0002
613,0.0001,0.001,0.0002
614,0.0001,0.001,0.0002
615,0.0001,0.001,0.0002
616,0.0001,0.001,0.0002
617,0.0001,0.001,0.0002
618,0.0001,0.001,0.0002
619,0.0005,0.001,0.0002
620,0.0001,0.001,0.0002
621,0.0001,0.001,0.0002
622,0.0001,0.001,0.0002
623,0.0005,0.001,0.0002
624,0.0001,0.001,0.0002
625,0.0001,0.001,0.0002
626,0.0001,0.001,0.0002
627,0.0001,0.001,0.0002
628,0.0001,0.001,0.0002
629,0.0001,0.001,0.0002
630,0.0001,0.001,0.0002
631,0.0001,0.001,0.0002
632,0.0001,0.001,0.0002
633,0.0001,0.001,0.0002
634,0.0001,0.001,0.0002
635,0.0001,0.001,0.0002
636,0.0001,0.001,0.0002
637,0.0001,0.001,0.0002
638,0.0001,0.001,0.0002
639,0.0001,0.001,0.0002
640,0.0001,0.001,0.0002
641,0.0001,0.001,0.0002
642,0.0001,0.001,0.0002
643,0.0001,0.001,0.0002
644,0.0001,0.001,0.0002
645,0.0001,0.001,0.0002
646,0.0001,0.001,0.0002
647,0.0001,0.001,0.0002
648,0.0005,0.001,0.0002
649,0.0001,0.001,0.0002
650,0.0001,0.001,0.0002
651,0.0001,0.001,0.0002
652,0.0001,0.001,0.0002
653,0.0001,0.001,0.0002
654,0.0001,0.001,0.0002
655,0.0001,0.001,0.0002
656,0.0001,0.001,0.0002
657,0.0001,0.001,0.0002
658,0.0001,0.001,0.0002
659,0.0001,0.001,0.0002
660,0.0001,0.001,0.0002
661,0.0001,0.001,0.0002
662,0.0001,0.001,0.0002
663,0.0001,0.001,0.0002
664,0.0001,0.001,0.0002
665,0.0005,0.001,0.0002
666,0.0001,0.001,0.0002
667,0.0001,0.001,0.0002
668,0.0001,0.001,0.0002
669,0.0001,0.001,0.0002
670,0.0001,0.001,0.0002
671,0.0001,0.001,0.0002
672,0.0001,0.001,0.0002
673,0.0001,0.001,0.0002
674,0.0001,0.001,0.0002
675,0.0005,0.001,0.0002
676,0.0001,0.001,0.0002
677,0.00001,0.001,0.0002
678,0.0001,0.001,0.0002
679,0.0001,0.001,0.0002
680,0.0001,0.001,0.0002
681,0.0001,0.001,0.0002
682,0.0001,0.001,0.0002
683,0.0001,0.001,0.0002
684,0.0001,0.001,0.0002
685,0.0001,0.001,0.0002
686,0.0001,0.001,0.0002
687,0.0001,0.001,0.0002
688,0.0001,0.001,0.0002
689,0.0001,0.001,0.0002
690,0.0001,0.001,0.0002
691,0.0005,0.001,0.0002
692,0.0001,0.001,0.0002
693,0.0001,0.001,0.0002
694,0.0001,0.001,0.0002
695,0.0001,0.001,0.0002
696,0.0001,0.001,0.0002
697,0.0001,0.001,0.0002
698,0.0001,0.001,0.0002
699,0.0001,0.001,0.0002
700,0.0001,0.001,0.0002
701,0.0001,0.001,0.0002
702,0.0001,0.001,0.0002
703,0.0001,0.001,0.0002
704,0.0001,0.001,0.0002
705,0.0001,0.001,0.0002
706,0.0001,0.001,0.0002
707,0.0001,0.001,0.0002
708,0.0001,0.001,0.0002
709,0.0001,0.001,0.0002
710,0.0001,0.001,0.0002
711,0.00001,0.001,0.0002
712,0.0001,0.001,0.0002
713,0.0001,0.001,0.0002
714,0.0001,0.001,0.0002
715,0.0001,0.001,0.0002
716,0.0001,0.001,0.0002
717,0.00005,0.001,0.0002
718,0.001,0.001,0.0002
719,0.001,0.001,0.0002
720,0.01,0.001,0.0002
721,0.00883,0.001,0.0002
722,0.01,0.001,0.0002
723,0.0001,0.001,0.0002
724,0.0001,0.001,0.0002
725,0.0001,0.001,0.0002
726,0.0001,0.001,0.0002
727,0.0001,0.001,0.0002
728,0.0001,0.001,0.0002
729,0.0001,0.001,0.0002
730,0.0005,0.001,0.0002
731,0.0001,0.001,0.0002
732,0.0001,0.001,0.0002
733,0.01,0.001,0.0002
734,0.0001,0.001,0.0002
735,0.0001,0.001,0.0002
736,0.0001,0.001,0.0002
737,0.0001,0.001,0.0002
738,0.0001,0.001,0.0002
739,0.0001,0.001,0.0002
740,0.0001,0.001,0.0002
741,0.0001,0.001,0.0002
742,0.0001,0.001,0.0002
743,0.0001,0.001,0.0002
744,0.01,0.001,0.0002
745,0.0001,0.001,0.0002
746,0.0001,0.001,0.0002
747,0.0001,0.001,0.0002
748,0.0001,0.001,0.0002
749,0.0001,0.001,0.0002
750,0.001,0.001,0.0002
751,0.001,0.001,0.0002
752,0.001,0.001,0.0002
753,0.01,0.001,0.0002
754,0.01,0.001,0.0002
755,0.01,0.001,0.0002
756,0.001,0.001,0.0002
757,0.01,0.001,0.0002
758,0.01,0.001,0.0002
759,0.01,0.001,0.0002
760,0.001,0.001,0.0002
761,0.01,0.001,0.0002
762,0.01,0.001,0.0002
763,0.01,0.001,0.0002
764,0.01,0.001,0.0002
765,0.01,0.001,0.0002
766,0.01,0.001,0.0002
767,0.01,0.001,0.0002
768,0.01,0.001,0.0002
769,0.01,0.001,0.0002
770,0.01,0.001,0.0002
771,0.01,0.001,0.0002
772,0.01,0.001,0.0002
773,0.01,0.001,0.0002
774,0.01,0.001,0.0002
775,0.01,0.001,0.0002
776,0.01,0.001,0.0002
777,0.01,0.001,0.0002
778,0.01,0.001,0.0002
779,0.01,0.001,0.0002
780,0.01,0.001,0.0002
781,0.01,0.001,0.0002
782,0.01,0.001,0.0002
783,0.01,0.001,0.0002
784,0.01,0.001,0.0002
785,0.01,0.001,0.0002
786,0.01,0.001,0.0002
787,0.01,0.001,0.0002
788,0.01,0.001,0.0002
789,0.01,0.001,0.0002
790,0.01,0.001,0.0002
791,0.01,0.001,0.0002
792,0.01,0.001,0.0002
793,0.00001,0.001,0.0002
794,0.00001,0.001,0.0002
795,0.00001,0.001,0.0002
796,0.00001,0.001,0.0002
